user_id,pages_viewed,time_spent,cart_additions,previous_purchases,total_sessions,session_duration,product_category,device_type,traffic_source,purchase
1,7,466,3,2,15,589,Clothing,Tablet,Email,0
2,15,198,1,5,10,894,Books,Mobile,Email,1
3,11,300,2,7,17,899,Sports,Desktop,Social Media,1
4,8,529,4,7,12,200,Books,Desktop,Organic,1
5,7,301,4,4,12,803,Books,Mobile,Email,0
6,19,292,4,4,16,609,Clothing,Mobile,Email,1
7,11,553,0,9,5,555,Clothing,Desktop,Email,1
8,11,386,3,2,16,571,Books,Tablet,Social Media,1
9,4,165,2,6,17,139,Clothing,Mobile,Referral,0
10,8,517,3,5,15,241,Books,Mobile,Ads,0
11,3,422,0,0,13,805,Electronics,Mobile,Social Media,0
12,2,537,2,3,8,467,Books,Desktop,Organic,0
13,12,364,2,5,2,351,Home,Desktop,Social Media,0
14,6,568,1,5,8,743,Home,Desktop,Social Media,0
15,2,196,3,2,10,113,Clothing,Desktop,Ads,0
16,1,40,3,5,7,405,Books,Desktop,Ads,0
17,12,269,1,9,10,82,Books,Tablet,Ads,0
18,12,430,4,5,4,896,Sports,Tablet,Referral,1
19,17,538,0,8,11,525,Sports,Desktop,Social Media,1
20,10,560,3,8,9,285,Sports,Desktop,Organic,1
21,16,313,1,1,4,615,Books,Desktop,Ads,0
22,15,48,2,3,3,249,Books,Mobile,Ads,0
23,15,498,1,8,11,684,Home,Mobile,Social Media,1
24,19,551,4,3,3,129,Beauty,Desktop,Organic,1
25,12,287,0,7,18,158,Clothing,Desktop,Ads,0
26,3,212,4,9,19,248,Home,Mobile,Social Media,0
27,5,75,2,2,14,506,Sports,Mobile,Email,0
28,19,117,2,2,11,812,Home,Mobile,Referral,0
29,7,277,2,8,2,487,Home,Mobile,Social Media,0
30,9,231,2,9,2,51,Home,Mobile,Ads,1
31,7,539,1,7,2,719,Sports,Desktop,Organic,0
32,18,99,2,0,10,589,Beauty,Desktop,Email,0
33,4,264,2,9,15,658,Electronics,Mobile,Organic,0
34,14,464,1,1,12,358,Clothing,Desktop,Organic,0
35,18,262,2,2,11,720,Clothing,Mobile,Organic,0
36,9,266,4,1,17,509,Home,Mobile,Social Media,0
37,2,392,4,2,18,814,Beauty,Mobile,Social Media,0
38,15,451,3,7,14,368,Sports,Desktop,Referral,1
39,7,99,4,5,17,888,Electronics,Desktop,Email,0
40,12,399,0,6,15,208,Electronics,Desktop,Organic,0
41,8,591,0,9,12,450,Home,Desktop,Ads,1
42,15,53,0,9,16,511,Home,Tablet,Organic,0
43,3,28,1,5,6,78,Sports,Mobile,Email,0
44,14,110,4,0,2,856,Sports,Mobile,Organic,0
45,17,366,0,2,2,796,Books,Desktop,Social Media,0
46,4,551,3,0,16,59,Sports,Desktop,Social Media,1
47,18,42,1,9,2,114,Home,Tablet,Email,0
48,8,238,3,8,8,818,Beauty,Mobile,Referral,0
49,4,533,4,8,7,531,Home,Mobile,Organic,1
50,2,164,2,4,1,575,Home,Desktop,Email,0
51,6,432,3,3,4,358,Electronics,Desktop,Ads,0
52,10,255,2,8,11,639,Sports,Tablet,Ads,0
53,4,414,1,8,7,463,Clothing,Mobile,Referral,0
54,18,550,3,2,18,617,Sports,Tablet,Social Media,1
55,12,170,3,4,4,716,Books,Mobile,Email,0
56,2,126,1,2,17,882,Beauty,Desktop,Organic,0
57,10,280,1,9,11,278,Beauty,Tablet,Email,0
58,4,496,0,1,11,881,Sports,Desktop,Referral,0
59,14,181,4,0,11,163,Sports,Mobile,Email,0
60,16,283,3,9,15,719,Home,Mobile,Referral,1
61,15,268,3,1,14,394,Clothing,Tablet,Referral,0
